Flight No.,Timestamp,Altitude,Latitude,Longitude
DL229,1530277200,3.38E+04,4.59E+01,-4.34E+01
DL23,1530277200,3.40E+04,5.07E+01,-4.62E+01
DL231,1530277200,3.50E+04,4.71E+01,-2.81E+01
DL237,1530277200,3.60E+04,4.95E+01,-1.92E+01
DL246,1530277200,3.60E+04,5.73E+01,-4.62E+01
DL259,1530277200,3.70E+04,5.10E+01,-3.09E+01
DL270,1530277200,4.00E+04,4.25E+01,-6.51E+01
DL31,1530277200,3.50E+04,5.37E+01,-1.32E+01
DL35,1530277200,3.60E+04,6.74E+01,-5.63E+01
DL4,1530277200,0.00E+00,4.20E+01,-7.34E+01
DL400,1530277200,3.50E+04,4.73E+01,-3.32E+01
DL404,1530277200,0.00E+00,4.07E+01,-7.34E+01
DL405,1530277200,3.60E+04,4.47E+01,-4.50E+01
DL407,1530277200,0.00E+00,4.07E+01,-7.37E+01
DL418,1530277200,0.00E+00,4.15E+01,-7.34E+01
DL419,1530277200,3.65E+04,4.60E+01,-4.28E+01
DL422,1530277200,0.00E+00,4.06E+01,-7.35E+01
DL43,1530277200,3.09E+04,5.11E+01,-4.30E+01
DL45,1530277200,3.20E+04,5.44E+01,-1.96E+01
DL47,1530277200,3.60E+04,5.06E+01,-4.76E+01
DL477,1530277200,3.70E+04,4.53E+01,-1.09E+01
DL478,1530277200,3.60E+04,1.51E+01,-1.85E+01
DL49,1530277200,3.50E+04,5.12E+01,-4.23E+01
DL501,1530277200,3.50E+04,4.96E+01,-1.06E+01
DL51,1530277200,3.40E+04,6.26E+01,-3.25E+01
DL54,1530277200,3.90E+04,1.38E+01,-9.76E+00
DL59,1530277200,3.50E+04,5.06E+01,-4.72E+01
DL63,1530277200,3.29E+04,4.44E+01,-3.65E+01
DL71,1530277200,3.80E+04,4.63E+01,-6.36E+01
DL73,1530277200,3.40E+04,5.02E+01,-3.56E+01
DL75,1530277200,3.50E+04,5.28E+01,-1.09E+01
DL81,1530277200,3.20E+04,5.27E+01,-3.14E+01
DL83,1530277200,3.80E+04,4.39E+01,-5.97E+01
DL87,1530277200,3.20E+04,5.22E+01,-2.91E+01
DL91,1530277200,3.30E+04,5.17E+01,-3.93E+01
DL97,1530277200,3.87E+04,4.49E+01,-4.34E+01
LH400,1530277200,3.80E+04,5.21E+01,-3.03E+01
LH402,1530277200,3.40E+04,5.23E+01,-4.21E+00
LH410,1530277200,3.70E+04,5.50E+01,-1.61E+01
LH416,1530277200,3.80E+04,5.05E+01,-4.18E+01
LH418,1530277200,3.40E+04,5.24E+01,-7.39E+00
LH421,1530277200,0.00E+00,3.99E+01,-7.27E+01
LH422,1530277200,3.60E+04,5.27E+01,-7.98E+00
LH423,1530277200,0.00E+00,4.22E+01,-7.08E+01
LH426,1530277200,3.60E+04,5.29E+01,-7.59E+00
LH428,1530277200,3.70E+04,5.40E+01,-1.71E+01
LH438,1530277200,3.20E+04,6.19E+01,-3.79E+01
LH440,1530277200,3.60E+04,6.29E+01,-4.15E+01
LH442,1530277200,3.60E+04,6.03E+01,-4.75E+01
LH444,1530277200,3.60E+04,5.16E+01,-2.64E+01
LH452,1530277200,3.60E+04,6.00E+01,-1.44E+01
LH454,1530277200,3.70E+04,6.83E+01,-4.28E+01
LH456,1530277200,3.40E+04,6.83E+01,-4.22E+01
LH462,1530277200,3.80E+04,5.10E+01,-3.11E+01
LH475,1530277200,0.00E+00,4.53E+01,-7.35E+01
LH480,1530277200,3.75E+04,5.72E+01,-1.38E+01
LH484,1530277200,3.23E+04,4.82E+01,-1.43E+01
LH488,1530277200,3.40E+04,6.38E+01,-2.39E+01
LH490,1530277200,3.30E+04,6.83E+01,-4.26E+01
LH492,1530277200,3.40E+04,5.48E+01,-1.16E+00
LH501,1530277200,0.00E+00,-2.46E+01,-4.47E+01
LH519,1530277200,3.90E+04,5.17E+01,-7.75E+00
LH8164,1530277200,3.30E+04,6.01E+01,-4.27E+01
LH8175,1530277200,3.30E+04,5.51E+01,-7.02E+00
LH8189,1530277200,2.90E+04,5.82E+01,-1.86E+01
LH8224,1530277200,3.01E+04,5.26E+01,-7.07E+00
LH8250,1530277200,3.34E+04,7.71E+00,-3.29E+01
UA119,1530277200,3.10E+04,6.16E+01,-3.44E+01
UA121,1530277200,3.52E+04,4.40E+01,-2.51E+01
UA123,1530277200,3.80E+04,4.35E+01,-6.52E+01
UA127,1530277200,3.60E+04,5.48E+01,-1.28E+01
UA135,1530277200,3.40E+04,4.68E+01,-3.69E+01
UA141,1530277200,3.40E+04,4.41E+01,-3.15E+01
UA145,1530277200,3.25E+04,4.31E+01,-2.11E+01
UA147,1530277200,3.70E+04,5.53E+01,-1.93E+01
UA15,1530277200,3.20E+04,5.08E+01,-3.93E+01
UA153,1530277200,1.89E+04,5.40E+01,-6.78E+00
UA160,1530277200,3.20E+04,5.16E+01,-3.96E+01
UA162,1530277200,3.80E+04,5.06E+01,-5.50E+01
UA169,1530277200,3.20E+04,4.96E+01,-4.16E+00
UA17,1530277200,3.20E+04,5.35E+01,-2.03E+01
UA18,1530277200,3.67E+04,4.99E+01,-3.84E+01
UA195,1530277200,3.80E+04,6.07E+01,-1.47E+01
UA21,1530277200,3.60E+04,5.01E+01,-3.68E+01
UA22,1530277200,3.80E+04,4.88E+01,-5.84E+01
UA24,1530277200,3.50E+04,5.28E+01,-2.52E+01
UA26,1530277200,4.00E+04,6.04E+01,-2.76E+01
UA31,1530277200,3.20E+04,4.92E+01,-3.84E+00
UA41,1530277200,3.20E+04,4.54E+01,-3.71E+01
UA43,1530277200,3.40E+04,4.63E+01,-2.38E+01
UA45,1530277200,4.00E+04,6.86E+01,-6.46E+01
UA47,1530277200,3.50E+04,5.18E+01,-2.66E+00
UA50,1530277200,3.30E+04,4.20E+01,-6.67E+00
UA53,1530277200,3.86E+04,5.36E+01,-2.61E+01
UA56,1530277200,3.60E+04,4.87E+01,-5.59E+01
UA65,1530277200,3.70E+04,4.38E+01,-3.76E+01
UA71,1530277200,3.20E+04,5.10E+01,-4.45E+01
UA865,1530277200,3.80E+04,4.87E+01,-5.60E+01
UA900,1530277200,3.11E+04,6.81E+01,-4.04E+01
UA906,1530277200,3.60E+04,5.81E+01,-1.50E+01
UA908,1530277200,3.20E+04,5.62E+01,-1.13E+01
UA914,1530277200,3.40E+04,5.08E+01,-2.48E+01
UA919,1530277200,0.00E+00,5.15E+01,-4.87E-01
UA947,1530277200,3.50E+04,5.38E+01,-2.43E+01
UA951,1530277200,3.50E+04,5.24E+01,-2.81E+01
UA953,1530277200,3.20E+04,5.98E+01,-1.94E+01
UA957,1530277200,3.40E+04,4.30E+01,-4.98E+01
UA961,1530277200,3.40E+04,5.23E+01,-2.72E+01
UA963,1530277200,3.20E+04,5.07E+01,-4.65E+01
UA971,1530277200,3.20E+04,6.09E+01,-2.99E+01
UA973,1530277200,3.30E+04,6.10E+01,-3.93E+01
UA975,1530277200,3.60E+04,5.05E+01,-2.64E+01
UA986,1530277200,3.60E+04,6.00E+01,-3.22E+01
UA988,1530277200,3.61E+04,5.27E+01,-1.88E+01
